name,category,slug,description,meta_title,meta_description,image_file
Инструкция для других товаров,1,instruktsiya-dlya-drugih-tovarov,,,,7570d3bb-c49f-4152-bbb3-bc87886f737e
Диск тормозной револьверной головки 1П756ДФ3.40.000,1,disk-tormoznoy-revolvernoy-golovki-1p756df3-40-000-2,"Назначение
Диск тормозной 1П756ДФ3.40.000 является важным элементом тормозной системы револьверной головки станка 1П756ДФ3. Предназначен для быстрой и точной фиксации инструментального диска в заданной позиции после смены инструмента, предотвращая его инерционное смещение во время обработки деталей. Обеспечивает надежную остановку револьверной головки с точностью позиционирования до долей градуса.

Технические характеристики
• Артикул: 1П756ДФ3.40.000
• Материал: Сталь углеродистая конструкционная (аналог 45 или 40Х)
• Термообработка: Закалка средняя (HRC 30–35)
• Поверхность рабочая: Торцевая шлифованная поверхность с насечками для улучшения сцепления
• Диаметтор диска: по согласованию с чертежом
• Толщина: соответствует заводским параметрам револьверной головки
• Способ торможения: Механическое фрикционное с прижимом
• Совместимость: Револьверные головки серии 1П756ДФ3

Конструкция и особенности
Диск выполнен в виде плоского металлического кольца с рабочей поверхностью, обработанной с высокой степенью точности. На торцевой поверхности могут присутствовать специальные канавки или насечки для улучшения сцепления с тормозными накладками. Конструкция обеспечивает равномерное распределение тормозного усилия по всей площади соприкосновения, что предотвращает биение и люфты в системе позиционирования инструмента. Материал подвергается термообработке для повышения износостойкости при частом срабатывании тормоза.

Условия эксплуатации
• Рабочая температура: от +5°C до +50°C
• Относительная влажность: до 80% при 25°C
• Частота торможений: до 60 циклов в час при непрерывной работе
• Требования к смазке: периодическая смазка механизма привода тормоза
• Особенности: требует периодической проверки толщины и состояния рабочей поверхности

Преимущества
✅ Оригинальная конструкция для станков серии 1П756ДФ3
✅ Быстрое торможение и точная фиксация инструментального диска
✅ Высокая износостойкость благодаря термообработке поверхности
✅ Равномерное распределение тормозного усилия без биения
✅ Устойчивость к высоким температурным нагрузкам при частом срабатывании
✅ Гарантия качества 6 мес со дня отгрузки

Примечание
При заказе уточняйте комплектацию револьверной головки и состояние тормозных накладок, так как износ сопряженных деталей может снизить эффективность торможения. Рекомендуется замена диска при износе рабочей поверхности более чем на 0,5 мм от номинала.",Диск тормозной револьверной головки 1П756ДФ3.40.000 для револьверной головки станка 1П756ДФ3,Купить диск 1П756ДФ3.40.000 для револьверной головки токарного станка 1П756ДФ3. ТД РУССтанкоСбыт.,7570d3bb-c49f-4152-bbb3-bc87886f737e
Зубчатое колесо 16М50.70.164,1,zubchatoe-koleso-16m50-70-164,"Назначение
Зубчатое колесо 16М50.70.164 — элемент передачи привода станка 16М50.

Технические характеристики
• Артикул: 16М50.70.164
• Материал: Сталь легированная
• Термообработка: Цементация, закалка
• Точность: по заводским допускам

Конструкция и особенности
Зубчатый венец.

Условия эксплуатации
• Рабочая температура: от +5°C до +50°C
• Смазка: система смазки станка

Преимущества
✅ Надёжность
✅ Гарантия качества 6 мес",Зубчатое колесо 16М50.70.164 для коробки передач станка 16М50,Купить колесо зубчатое 16М50.70.164 для коробки передач токарного станка 16М50. ТД РУССтанкоСбыт.,7570d3bb-c49f-4152-bbb3-bc87886f737e
Колесо зубчатое 16М50.70.156,1,koleso-zubchatoe-16m50-70-156,"Назначение
Колесо зубчатое 16М50.70.156 — элемент коробки скоростей токарно-винторезного станка 16М50. Обеспечивает передачу крутящего момента и переключение диапазонов скоростей. Изготавливается из легированной стали с цементацией и закалкой зубьев.

Технические характеристики
• Артикул: 16М50.70.156
• Материал: Сталь легированная (20Х или аналог)
• Термообработка: Цементация, закалка зубьев (HRC 58–62)
• Точность: по заводским допускам

Конструкция и особенности
Зубчатый венец выполнен с эвольвентным профилем. Закалённые зубья обеспечивают высокую нагрузочную способность. Посадочная поверхность шлифуется для точного базирования.

Условия эксплуатации
• Рабочая температура: от +5°C до +50°C
• Смазка: принудительная масляная смазка
• Периодичность контроля: осмотр при ТО

Преимущества
✅ Высокая нагрузочная способность
✅ Плавное зацепление
✅ Износостойкость
✅ Гарантия качества 6 мес

Примечание
При замене рекомендуется проверка сопряжённых деталей.",Колесо зубчатое 16М50.70.156 для коробки скоростей станка 16М50,Купить колесо зубчатое 16М50.70.156 для коробки скоростей токарного станка 16М50. ТД РУССтанкоСбыт.,7570d3bb-c49f-4152-bbb3-bc87886f737e
Колесо зубчатое 1А64.02.851,1,koleso-zubchatoe-1a64-02-851,"Назначение
Колесо зубчатое 1А64.02.851 — элемент передачи привода станка 1А64.

Технические характеристики
• Артикул: 1А64.02.851
• Материал: Сталь легированная
• Термообработка: Закалка
• Точность: по заводским допускам

Конструкция и особенности
Зубчатый венец.

Условия эксплуатации
• Рабочая температура: от +5°C до +50°C
• Смазка: система смазки станка

Преимущества
✅ Надёжность
✅ Гарантия качества 6 мес",Колесо зубчатое 1А64.02.851 для коробки передач станка 1А64,Купить колесо зубчатое 1А64.02.851 для коробки передач токарного станка 1А64. ТД РУССтанкоСбыт.,7570d3bb-c49f-4152-bbb3-bc87886f737e
Колесо зубчатое 1А64.02.942,1,koleso-zubchatoe-1a64-02-942-2,"Назначение
Колесо зубчатое 1А64.02.942 — компонент передачи станка 1А64. Обеспечивает надёжную передачу момента в механизме привода. Изготавливается из высокопрочной стали с термообработкой для обеспечения долговечности.

Технические характеристики
• Артикул: 1А64.02.942
• Материал: Сталь конструкционная легированная
• Термообработка: Закалка и отпуск (HRC 38–45)
• Точность: по стандартным допускам

Конструкция и особенности
Зубчатый венец обеспечивает плавное зацепление. Посадочная поверхность шлифуется для точного базирования на валу.

Условия эксплуатации
• Рабочая температура: от +5°C до +50°C
• Смазка: система смазки станка

Преимущества
✅ Надёжная передача момента
✅ Износостойкость при стандартных нагрузках
✅ Совместимость с оригинальным узлом
✅ Гарантия качества 6 мес

Примечание
При заказе уточняйте место установки колеса в вашем станке.",Колесо зубчатое 1А64.02.942 для коробки передач станка 1А64,Купить колесо зубчатое 1А64.02.942 для коробки передач токарного станка 1А64. ТД РУССтанкоСбыт.,7570d3bb-c49f-4152-bbb3-bc87886f737e
Колесо зубчатое 1А64.06.393,1,koleso-zubchatoe-1a64-06-393,"Назначение
Колесо зубчатое 1А64.06.393 — компонент передачи станка 1А64. Обеспечивает надёжную передачу момента в механизме привода. Изготавливается из высокопрочной стали с термообработкой.

Технические характеристики
• Артикул: 1А64.06.393
• Материал: Сталь конструкционная легированная
• Термообработка: Закалка и отпуск (HRC 38–45)
• Точность: по стандартным допускам

Конструкция и особенности
Зубчатый венец обеспечивает плавное зацепление. Посадочная поверхность шлифуется для точного базирования на валу.

Условия эксплуатации
• Рабочая температура: от +5°C до +50°C
• Смазка: система смазки станка

Преимущества
✅ Надёжная передача момента
✅ Износостойкость
✅ Совместимость с оригинальным узлом
✅ Гарантия качества 6 мес",Колесо зубчатое 1А64.06.393 для коробки передач станка 1А64,Купить колесо зубчатое 1А64.06.393 для коробки передач токарного станка 1А64. ТД РУССтанкоСбыт.,7570d3bb-c49f-4152-bbb3-bc87886f737e
Колесо зубчатое 1А64.07.217,1,koleso-zubchatoe-1a64-07-217,"Назначение
Колесо зубчатое 1А64.07.217 — элемент передачи станка 1А64. Обеспечивает передачу момента с определённым передаточным отношением. Изготавливается из легированной стали с цементацией и закалкой.

Технические характеристики
• Артикул: 1А64.07.217
• Материал: Сталь легированная (20Х или аналог)
• Термообработка: Цементация, закалка (HRC 58–62)
• Число зубьев: 217
• Точность: по ГОСТ

Конструкция и особенности
Зубчатый венец выполнен с эвольвентным профилем. Закалённые зубья обеспечивают высокую нагрузочную способность. Посадочная поверхность шлифуется для точного базирования.

Условия эксплуатации
• Рабочая температура: от +5°C до +50°C
• Смазка: принудительная масляная смазка
• Периодичность контроля: осмотр при ТО

Преимущества
✅ Высокая нагрузочная способность
✅ Плавное зацепление
✅ Износостойкость при работе
✅ Совместимость с оригинальным узлом
✅ Гарантия качества 6 мес

Примечание
При замене проверьте состояние сопряжённого колеса.",Колесо зубчатое 1А64.07.217 для коробки передач станка 1А64,Купить колесо зубчатое 1А64.07.217 для коробки передач токарного станка 1А64. ТД РУССтанкоСбыт.,7570d3bb-c49f-4152-bbb3-bc87886f737e
Колесо зубчатое 1М63.02.262,1,koleso-zubchatoe-1m63-02-262,"Назначение
Колесо зубчатое 1М63.02.262 — элемент передачи привода токарно-винторезного станка 1М63.

Технические характеристики
• Артикул: 1М63.02.262
• Материал: Сталь легированная
• Термообработка: Цементация, закалка
• Точность: по заводским допускам

Конструкция и особенности
Зубчатый венец. Закалённые зубья.

Условия эксплуатации
• Рабочая температура: от +5°C до +50°C
• Смазка: принудительная смазка

Преимущества
✅ Надёжность
✅ Износостойкость
✅ Гарантия качества 6 мес",Колесо зубчатое 1М63.02.262 для коробки передач станка 1М63 (ДИП-300),Купить колесо зубчатое 1М63.02.262 для коробки передач токарного станка 1М63 (ДИП-300). ТД РУССтанкоСбыт.,7570d3bb-c49f-4152-bbb3-bc87886f737e
Колесо зубчатое 1М63.02.275,1,koleso-zubchatoe-1m63-02-275,"Назначение
Колесо зубчатое 1М63.02.275 — элемент передачи крутящего момента в механизме привода токарно-винторезного станка 1М63 (ДИП-300). Обеспечивает передачу момента между валами с определённым передаточным отношением. Изготавливается из высококачественной легированной стали с термообработкой для обеспечения долговечности.

Технические характеристики
• Артикул: 1М63.02.275
• Материал: Сталь легированная (20Х или аналог)
• Термообработка: Цементация, закалка зубьев (HRC 58–62)
• Число зубьев: по заводским чертежам
• Точность зубьев: по ГОСТ стандартам

Конструкция и особенности
Зубчатый венец выполнен с эвольвентным профилем зубьев для плавного зацепления. Закалённые зубья обеспечивают высокую нагрузочную способность и износостойкость. Посадочная поверхность шлифуется для точного базирования на валу.

Условия эксплуатации
• Рабочая температура: от +5°C до +50°C
• Смазка: принудительная масляная смазка
• Периодичность контроля: осмотр зубьев при ТО

Преимущества
✅ Высокая нагрузочная способность закалённых зубьев
✅ Плавное зацепление — минимум вибраций и шума
✅ Износостойкость при интенсивной эксплуатации
✅ Совместимость с оригинальным узлом
✅ Гарантия качества 6 мес

Примечание
При замене рекомендуется проверка состояния сопряжённого колеса и подшипников вала.",Колесо зубчатое 1М63.02.275 для коробки передач станка 1М63 (ДИП-300),Купить колесо зубчатое 1М63.02.275 для коробки передач токарного станка 1М63 (ДИП-300). ТД РУССтанкоСбыт.,7570d3bb-c49f-4152-bbb3-bc87886f737e
Колесо зубчатое 1М63.02.370,1,koleso-zubchatoe-1m63-02-370,"Назначение
Колесо зубчатое 1М63.02.370 — элемент передачи привода станка 1М63.

Технические характеристики
• Артикул: 1М63.02.370
• Материал: Сталь легированная
• Термообработка: Цементация, закалка
• Точность: по заводским допускам

Конструкция и особенности
Зубчатый венец.

Условия эксплуатации
• Рабочая температура: от +5°C до +50°C
• Смазка: принудительная смазка

Преимущества
✅ Надёжность
✅ Гарантия качества 6 мес",Колесо зубчатое 1М63.02.370 для коробки передач станка 1М63 (ДИП-300),Купить колесо зубчатое 1М63.02.370 для коробки передач токарного станка 1М63 (ДИП-300). ТД РУССтанкоСбыт.,7570d3bb-c49f-4152-bbb3-bc87886f737e
Колесо зубчатое 1М63.04.153,1,koleso-zubchatoe-1m63-04-153-2,"Назначение
Колесо зубчатое 1М63.04.153 — элемент коробки передач станка 1М63 (ДИП-300). Обеспечивает передачу момента между валами с определённым передаточным отношением. Изготавливается из легированной стали с цементацией и закалкой зубьев.

Технические характеристики
• Артикул: 1М63.04.153
• Материал: Сталь легированная (20Х или аналог)
• Термообработка: Цементация, закалка зубьев (HRC 58–62)
• Число зубьев: 153
• Точность: по ГОСТ стандартам

Конструкция и особенности
Зубчатый венец выполнен с эвольвентным профилем для плавности зацепления. Закалённые зубья обеспечивают высокую нагрузочную способность.

Условия эксплуатации
• Рабочая температура: от +5°C до +50°C
• Смазка: принудительная масляная смазка

Преимущества
✅ Плавное зацепление с низким уровнем шума
✅ Высокая нагрузочная способность закалённых зубьев
✅ Износостойкость при работе станка
✅ Совместимость с оригинальным узлом
✅ Гарантия качества 6 мес

Примечание
При замене проверьте состояние сопряжённого колеса и подшипников.",Колесо зубчатое 1М63.04.153 для коробки передач станка 1М63 (ДИП-300),Купить колесо зубчатое 1М63.04.153 для коробки передач токарного станка 1М63 (ДИП-300). ТД РУССтанкоСбыт.,7570d3bb-c49f-4152-bbb3-bc87886f737e
Колесо зубчатое 1М63.21.158,1,koleso-zubchatoe-1m63-21-158,"Назначение
Колесо зубчатое 1М63.21.158 — элемент передачи привода станка 1М63.

Технические характеристики
• Артикул: 1М63.21.158
• Материал: Сталь легированная
• Термообработка: Цементация, закалка
• Точность: по заводским допускам

Конструкция и особенности
Зубчатый венец.

Условия эксплуатации
• Рабочая температура: от +5°C до +50°C
• Смазка: принудительная смазка

Преимущества
✅ Надёжность
✅ Гарантия качества 6 мес",Колесо зубчатое 1М63.21.158 для коробки передач станка 1М63 (ДИП-300),Купить колесо зубчатое 1М63.21.158 для коробки передач токарного станка 1М63 (ДИП-300). ТД РУССтанкоСбыт.,7570d3bb-c49f-4152-bbb3-bc87886f737e
Колесо зубчатое 1М63.21.197,1,koleso-zubchatoe-1m63-21-197,"Назначение
Колесо зубчатое 1М63.21.197 — элемент передачи привода станка 1М63. Обеспечивает передачу крутящего момента.

Технические характеристики
• Артикул: 1М63.21.197
• Материал: Сталь легированная (20Х)
• Термообработка: Цементация, закалка зубьев (HRC 58–62)
• Точность: по заводским допускам

Конструкция и особенности
Зубчатый венец с эвольвентным профилем. Закалённые зубья.

Условия эксплуатации
• Рабочая температура: от +5°C до +50°C
• Смазка: принудительная смазка

Преимущества
✅ Надёжность
✅ Износостойкость
✅ Гарантия качества 6 мес",Колесо зубчатое 1М63.21.197 для коробки передач станка 1М63 (ДИП-300),Купить колесо зубчатое 1М63.21.197 для коробки передач токарного станка 1М63 (ДИП-300). ТД РУССтанкоСбыт.,7570d3bb-c49f-4152-bbb3-bc87886f737e
Колесо зубчатое 1М63.21.235,1,koleso-zubchatoe-1m63-21-235,"Назначение
Колесо зубчатое 1М63.21.235 — элемент передачи привода токарно-винторезного станка 1М63. Обеспечивает передачу крутящего момента. Изготавливается из легированной стали с термообработкой зубьев.

Технические характеристики
• Артикул: 1М63.21.235
• Материал: Сталь легированная (20Х или аналог)
• Термообработка: Цементация, закалка зубьев (HRC 58–62)
• Точность: по заводским допускам

Конструкция и особенности
Зубчатый венец с эвольвентным профилем. Закалённые зубья обеспечивают высокую нагрузочную способность.

Условия эксплуатации
• Рабочая температура: от +5°C до +50°C
• Смазка: принудительная смазка
• Периодичность контроля: осмотр при ТО

Преимущества
✅ Высокая нагрузочная способность
✅ Плавное зацепление
✅ Износостойкость
✅ Гарантия качества 6 мес",Колесо зубчатое 1М63.21.235 для коробки передач станка 1М63 (ДИП-300),Купить колесо зубчатое 1М63.21.235 для коробки передач токарного станка 1М63 (ДИП-300). ТД РУССтанкоСбыт.,7570d3bb-c49f-4152-bbb3-bc87886f737e
Колесо зубчатое 1М63Б.08.167,1,koleso-zubchatoe-1m63b-08-167,"Назначение
Колесо зубчатое 1М63Б.08.167 — элемент передачи привода токарно-винторезного станка 1М63Б. Обеспечивает передачу крутящего момента между валами привода. Изготавливается из высококачественной легированной стали с термообработкой.

Технические характеристики
• Артикул: 1М63Б.08.167
• Материал: Сталь легированная (20Х или аналог)
• Термообработка: Цементация, закалка зубьев (HRC 58–62)
• Точность: по заводским допускам

Конструкция и особенности
Зубчатый венец выполнен с эвольвентным профилем. Закалённые зубья обеспечивают высокую нагрузочную способность. Посадочная поверхность шлифуется для точного базирования.

Условия эксплуатации
• Рабочая температура: от +5°C до +50°C
• Смазка: принудительная масляная смазка
• Периодичность контроля: осмотр при ТО

Преимущества
✅ Высокая нагрузочная способность
✅ Плавное зацепление
✅ Износостойкость
✅ Гарантия качества 6 мес

Примечание
При замене рекомендуется проверка сопряжённых деталей.",Колесо зубчатое 1М63Б.08.167 для коробки передач станка 1М63Б,Купить колесо зубчатое 1М63Б.08.167 для коробки передач токарного станка 1М63Б. ТД РУССтанкоСбыт.,7570d3bb-c49f-4152-bbb3-bc87886f737e
Колесо зубчатое 1М63Б.70.216,1,koleso-zubchatoe-1m63b-70-216,"Назначение
Колесо зубчатое 1М63Б.70.216 — элемент зубчатой передачи привода коробки скоростей токарно-винторезного станка 1М63Б. Обеспечивает передачу крутящего момента между валами привода и переключение диапазонов частот вращения шпинделя. Изготавливается из легированной стали с цементацией и закалкой зубьев для обеспечения высокой нагрузочной способности и износостойкости.

Технические характеристики
• Артикул: 1М63Б.70.216
• Материал: Сталь легированная (20Х, 18ХГТ или аналог)
• Термообработка: Цементация, закалка зубьев (HRC 58–62)
• Точность зубьев: по заводским допускам
• Модуль и число зубьев: по чертежу завода-изготовителя
• Посадочное отверстие: шлицевое или цилиндрическое (по чертежу)

Конструкция и особенности
Зубчатый венец выполнен с эвольвентным профилем зубьев, обеспечивающим плавность зацепления и равномерное распределение нагрузки. Поверхностная закалка зубьев при сохранении вязкой сердцевины гарантирует устойчивость к ударным нагрузкам при переключении скоростей. Посадочные поверхности шлифуются для точного базирования на валу без биения. Изготовление ведётся строго по заводским чертежам с соблюдением всех требований к точности профиля зубьев.

Условия эксплуатации
• Рабочая температура: от +5°C до +50°C
• Требования к смазке: принудительная смазка в составе коробки скоростей
• Периодичность контроля: осмотр зубьев при плановом ТО станка
• Особенности: замена только в паре с сопряжённым колесом при значительном износе

Преимущества
✅ Изготовлено по заводским чертежам для станка 1М63Б
✅ Цементированные и закалённые зубья — высокая нагрузочная способность
✅ Шлифованные посадочные поверхности — точное базирование
✅ Полная взаимозаменяемость с оригинальной деталью
✅ Контроль качества зубчатого профиля на производстве
✅ Гарантия качества 6 мес со дня отгрузки

Примечание
При заказе рекомендуется уточнить полное обозначение по чертежу и параметры зубчатого зацепления. При значительном износе рекомендуется одновременная замена сопряжённого зубчатого колеса и проверка состояния подшипников вала.",Колесо зубчатое 1М63Б.70.216 для коробки скоростей станка 1М63Б,Купить колесо зубчатое 1М63Б.70.216 для коробки скоростей токарного станка 1М63Б. ТД РУССтанкоСбыт.,7570d3bb-c49f-4152-bbb3-bc87886f737e
Колесо зубчатое 1М63Б.70.218,1,koleso-zubchatoe-1m63b-70-218-2,"Назначение
Колесо зубчатое 1М63Б.70.218 — элемент коробки передач станка 1М63Б. Обеспечивает передачу крутящего момента с определённым передаточным отношением. Изготавливается из легированной стали с цементацией и закалкой.

Технические характеристики
• Артикул: 1М63Б.70.218
• Материал: Сталь легированная (20Х или аналог)
• Термообработка: Цементация, закалка зубьев (HRC 58–62)
• Число зубьев: 218
• Модуль: стандартный
• Точность: по ГОСТ

Конструкция и особенности
Зубчатый венец выполнен с эвольвентным профилем. Закалённые зубья обеспечивают высокую нагрузочную способность. Посадочная поверхность шлифуется для точного центрирования.

Условия эксплуатации
• Рабочая температура: от +5°C до +50°C
• Смазка: принудительная масляная смазка
• Периодичность контроля: осмотр при ТО

Преимущества
✅ Высокая нагрузочная способность
✅ Плавное зацепление и низкий шум
✅ Износостойкость при длительной эксплуатации
✅ Совместимость с оригинальным узлом
✅ Гарантия качества 6 мес

Примечание
При замене проверьте состояние сопряжённого колеса и подшипников.",Колесо зубчатое 1М63Б.70.218 для коробки передач станка 1М63Б,Купить колесо зубчатое 1М63Б.70.218 для коробки передач токарного станка 1М63Б. ТД РУССтанкоСбыт.,7570d3bb-c49f-4152-bbb3-bc87886f737e
Колесо зубчатое 1М63Б.70.218,1,koleso-zubchatoe-1m63b-70-218-3,"Назначение
Колесо зубчатое 1М63Б.70.218 — элемент зубчатой передачи привода коробки скоростей токарно-винторезного станка 1М63Б. Обеспечивает передачу крутящего момента между валами привода и переключение диапазонов частот вращения шпинделя. Изготавливается из легированной стали с цементацией и закалкой зубьев для обеспечения высокой нагрузочной способности и износостойкости.

Технические характеристики
• Артикул: 1М63Б.70.218
• Материал: Сталь легированная (20Х, 18ХГТ или аналог)
• Термообработка: Цементация, закалка зубьев (HRC 58–62)
• Точность зубьев: по заводским допускам
• Модуль и число зубьев: по чертежу завода-изготовителя
• Посадочное отверстие: шлицевое или цилиндрическое (по чертежу)

Конструкция и особенности
Зубчатый венец выполнен с эвольвентным профилем зубьев, обеспечивающим плавность зацепления и равномерное распределение нагрузки. Поверхностная закалка зубьев при сохранении вязкой сердцевины гарантирует устойчивость к ударным нагрузкам при переключении скоростей. Посадочные поверхности шлифуются для точного базирования на валу без биения. Изготовление ведётся строго по заводским чертежам с соблюдением всех требований к точности профиля зубьев.

Условия эксплуатации
• Рабочая температура: от +5°C до +50°C
• Требования к смазке: принудительная смазка в составе коробки скоростей
• Периодичность контроля: осмотр зубьев при плановом ТО станка
• Особенности: замена только в паре с сопряжённым колесом при значительном износе

Преимущества
✅ Изготовлено по заводским чертежам для станка 1М63Б
✅ Цементированные и закалённые зубья — высокая нагрузочная способность
✅ Шлифованные посадочные поверхности — точное базирование
✅ Полная взаимозаменяемость с оригинальной деталью
✅ Контроль качества зубчатого профиля на производстве
✅ Гарантия качества 6 мес со дня отгрузки

Примечание
При заказе рекомендуется уточнить полное обозначение по чертежу и параметры зубчатого зацепления. При значительном износе рекомендуется одновременная замена сопряжённого зубчатого колеса и проверка состояния подшипников вала.",Колесо зубчатое 1М63Б.70.218 для коробки скоростей станка 1М63Б,Купить колесо зубчатое 1М63Б.70.218 для коробки скоростей токарного станка 1М63Б. ТД РУССтанкоСбыт.,7570d3bb-c49f-4152-bbb3-bc87886f737e
Колесо зубчатое 1М63Б.70.223,1,koleso-zubchatoe-1m63b-70-223,"Назначение
Колесо зубчатое 1М63Б.70.223 — элемент коробки передач станка 1М63Б. Обеспечивает передачу крутящего момента. Изготавливается из легированной стали с цементацией и закалкой.

Технические характеристики
• Артикул: 1М63Б.70.223
• Материал: Сталь легированная (20Х или аналог)
• Термообработка: Цементация, закалка (HRC 58–62)
• Число зубьев: 223
• Точность: по ГОСТ

Конструкция и особенности
Зубчатый венец выполнен с эвольвентным профилем. Закалённые зубья обеспечивают высокую нагрузочную способность.

Условия эксплуатации
• Рабочая температура: от +5°C до +50°C
• Смазка: принудительная масляная смазка
• Периодичность контроля: осмотр при ТО

Преимущества
✅ Высокая нагрузочная способность
✅ Плавное зацепление
✅ Износостойкость
✅ Совместимость с оригинальным узлом
✅ Гарантия качества 6 мес

Примечание
При замене проверьте состояние сопряжённого колеса.",Колесо зубчатое 1М63Б.70.223 для коробки передач станка 1М63Б,Купить колесо зубчатое 1М63Б.70.223 для коробки передач токарного станка 1М63Б. ТД РУССтанкоСбыт.,7570d3bb-c49f-4152-bbb3-bc87886f737e
Колесо зубчатое 1Н65.08.158,1,koleso-zubchatoe-1n65-08-158,"Назначение
Колесо зубчатое 1Н65.08.158 — элемент передачи привода токарно-винторезного станка 1Н65. Обеспечивает передачу крутящего момента между валами. Изготавливается из легированной стали с термообработкой зубьев.

Технические характеристики
• Артикул: 1Н65.08.158
• Материал: Сталь легированная (20Х или аналог)
• Термообработка: Цементация, закалка зубьев (HRC 58–62)
• Точность: по заводским допускам

Конструкция и особенности
Зубчатый венец с эвольвентным профилем. Закалённые зубья обеспечивают высокую нагрузочную способность и износостойкость.

Условия эксплуатации
• Рабочая температура: от +5°C до +50°C
• Смазка: принудительная смазка
• Периодичность контроля: осмотр при ТО

Преимущества
✅ Высокая нагрузочная способность
✅ Плавное зацепление
✅ Износостойкость
✅ Гарантия качества 6 мес",Колесо зубчатое 1Н65.08.158 для коробки передач станка 1Н65 (ДИП-500),Купить колесо зубчатое 1Н65.08.158 для коробки передач токарного станка 1Н65 (ДИП-500). ТД РУССтанкоСбыт.,7570d3bb-c49f-4152-bbb3-bc87886f737e
Колесо зубчатое 1Н65.30.158,1,koleso-zubchatoe-1n65-30-158,"Назначение
Колесо зубчатое 1Н65.30.158 — элемент коробки скоростей станка 1Н65. Обеспечивает передачу крутящего момента и переключение режимов. Изготавливается из легированной стали с цементацией и закалкой.

Технические характеристики
• Артикул: 1Н65.30.158
• Материал: Сталь легированная (20Х или аналог)
• Термообработка: Цементация, закалка (HRC 58–62)
• Число зубьев: 158
• Точность: по ГОСТ

Конструкция и особенности
Зубчатый венец выполнен с эвольвентным профилем. Закалённые зубья обеспечивают высокую нагрузочную способность.

Условия эксплуатации
• Рабочая температура: от +5°C до +50°C
• Смазка: принудительная масляная смазка
• Периодичность контроля: осмотр при ТО

Преимущества
✅ Высокая нагрузочная способность
✅ Плавное зацепление
✅ Износостойкость
✅ Совместимость с оригинальным узлом
✅ Гарантия качества 6 мес

Примечание
При замене проверьте состояние сопряжённого колеса и подшипников.",Колесо зубчатое 1Н65.30.158 для коробки скоростей станка 1Н65 (ДИП-500),Купить колесо зубчатое 1Н65.30.158 для коробки скоростей токарного станка 1Н65 (ДИП-500). ТД РУССтанкоСбыт.,7570d3bb-c49f-4152-bbb3-bc87886f737e
