"name","slug","specs","meta_title","meta_description","compatible_products"
"Шестерня сварная для фрезерного станка FU450","shesternya-svarnaya-dlya-frezernogo-stanka-fu450","[]","Шестерня сварная для фрезерного станка FU450 (консоль станка)","Купить шестерню сварную для консольно‑фрезерного станка FU450. Запасная часть консоли, обеспечивающая работу и взаимодействие механизмов консоли и стола станка. Запчасть ТД РУССтанкоСбыт.","[]"
"Колесо зубчатое 16К30.70.151","koleso-zubcatoe-16k30-70-151","[{""key"":""Применимость: "",""value"":""Коробка подач""},{""key"":""Позиция на кинематической схеме, №"",""value"":""53""},{""key"":""Число зубьев, z"",""value"":""36""},{""key"":""Модуль, m"",""value"":""2,75""},{""key"":""Ширина обода, мм"",""value"":""15,5""}]","Колесо зубчатое 16К30.70.151 для коробки подач станка 16К30, z=36, m=2,75","Купить колесо зубчатое 16К30.70.151 для коробки подач токарного станка 16К30, а также 1М63Н (ДИП‑300, 163, 1М63), РТ301 и РТ30102. Позиция 53 по схеме, z=36, m=2,75, ширина 15,5 мм. Запчасть ТД РУССтанкоСбыт.","[{""spare_part_id"":""365297ce-42e4-4bd9-bf83-77df24cc3043""},{""spare_part_id"":""365297ce-42e4-4bd9-bf83-77df24cc3043""},{""spare_part_id"":""365297ce-42e4-4bd9-bf83-77df24cc3043""}]"
"Вал 1П756МФ3.20.281 ","val-1p756mf3-20-281","[{""key"":""Применимость:"",""value"":""Шпиндельная бабка""}]","Вал 1П756МФ3.20.281 для токарного полуавтомата с ЧПУ 1П756МФ3","Купить вал 1П756МФ3.20.281 для токарного патронного полуавтомата с ЧПУ 1П756МФ3. Запасная часть узла привода/передней бабки, подбирается по каталожному обозначению. Запчасть ТД РУССтанкоСбыт","[]"
"Колесо зубчатое 1М63.02.171","koleso-zubcatoe-1m63-02-171","[{""key"":""Применимость:"",""value"":""Шпиндельная бабка""},{""key"":""Позиция на кинематической схеме, №"",""value"":""11""},{""key"":""Число зубьев, Z"",""value"":""23""},{""key"":""Модуль, m"",""value"":""3""},{""key"":""Ширина обода, мм"",""value"":""22""}]","Колесо зубчатое 1М63.02.171 для шпиндельной бабки станка 1М63, z=23, m=3","Купить колесо зубчатое 1М63.02.171 для шпиндельной бабки (коробки скоростей) токарного станка 1М63Н (ДИП‑300, 163, 1М63), а также РТ301 и РТ30102. Позиция 11 по схеме, z=23, m=3, ширина 22 мм. Запчасть ТД РУССтанкоСбыт.","[{""spare_part_id"":""382894d9-3dc7-4085-a79c-dabf8f73afcf""},{""spare_part_id"":""382894d9-3dc7-4085-a79c-dabf8f73afcf""},{""spare_part_id"":""382894d9-3dc7-4085-a79c-dabf8f73afcf""}]"
"Вал 6Т82Г-1.60.304 привода стола станка 6Т82Г-1 ","val-6t82g-1-60-304-prjvoda-stola-stanka-6t82g-1","[{""key"":""Применимость:"",""value"":""Механизм перемещения стола""}]","Вал 6Т82Г-1.60.304 для станка 6Т82Г-1","Купить вал 6Т82Г-1.60.304 для горизонтально-фрезерного станка 6Т82Г-1. Запасная каталожная деталь для системы подач станка. ТД РУССтанкоСбыт.","[]"
"Вал 165.02.445","val-165-02-445","[{""key"":""Применимость:"",""value"":""Шпиндельная бабка""},{""key"":""Позиция на кинематической схеме, №"",""value"":""В1""},{""key"":""Диаметр вала, Ø мм  "",""value"":"" 40–60""},{""key"":""8-ми шлицевое исполнение:"",""value"":""42х48""},{""key"":""Длина, мм "",""value"":""300–500""},{""key"":""Материал: "",""value"":""Сталь 45Х или 40ХН2МА ""},{""key"":""Закалка поверхностей с цементацией для высоких нагрузок и точности"",""value"":""да""}]","Вал 165.02.445 I оси шпиндельной бабки станка 1Н65 (ДИП-500)","Купить вал 165.02.445 I оси шпиндельной бабки для токарного станка 1Н65 (ДИП-500, 1М65). Каталожная запчасть шпиндельной бабки токарно-винторезного станка. ТД РУССтанкоСбыт.","[{""spare_part_id"":""3873fd05-c08b-4131-90f7-df450225dd5d""},{""spare_part_id"":""3873fd05-c08b-4131-90f7-df450225dd5d""},{""spare_part_id"":""3873fd05-c08b-4131-90f7-df450225dd5d""}]"
"Вал 165.50.158","val-165-50-158","[{""key"":""Применимость:"",""value"":""Коробка подач""},{""key"":""Диаметр вала, Ø мм "",""value"":""35–50""},{""key"":""Длина, мм "",""value"":""250–400""},{""key"":""Материал:"",""value"":""легированная сталь 40ХН2МА ""},{""key"":""Закалка поверхностей с цементацией и шлифовкой для высокой точности и нагрузок."",""value"":""да""}]","Вал 165.50.158 для коробки подач станка 1Н65 (ДИП-500)","Купить вал 165.50.158 для коробки подач токарного станка 1Н65 (ДИП-500, 1М65), а также станков РТ117 и РТ817. Каталожная запчасть узла подач. ТД РУССтанкоСбыт","[{""spare_part_id"":""389b0729-697e-4f87-a99c-02bc793295dd""},{""spare_part_id"":""389b0729-697e-4f87-a99c-02bc793295dd""},{""spare_part_id"":""389b0729-697e-4f87-a99c-02bc793295dd""}]"
"Вал 16Р25В.22.150","val-16r25v-22-150","[{""key"":""Применимость:"",""value"":""16Р25""}]","Вал 16Р25В.22.150 для токарного станка 16Р25В","Купить вал 16Р25В.22.150 для токарно-винторезного станка 16Р25В. Оригинальная каталожная запчасть для металлообрабатывающего оборудования. ТД РУССтанкоСбыт","[{""spare_part_id"":""38a95fef-d1a1-40e5-aa9c-f875cf661561""}]"
"Диск инструментальный 1П756ДФ3.47.000","djsk-jnstrumentalenyi-1p756df3-47-000","[{""key"":""Совместимость"",""field"":""Совместимость"",""value"":""1П756ДФ3.39.000 / 1П756ДФ3.40.000""}]","Блок дисковый 1П756ДФ3.47.000 для револьверной головки 1П756ДФ3","Купить блок дисковый 1П756ДФ3.47.000 для револьверной головки 1П756ДФ3.39.000 токарного станка с ЧПУ 1П756ДФ3. Каталожная запчасть револьверной головки. ТД РУССтанкоСбыт.","[]"
"Вал 1М63Б.40Э/3.159","val-1m63b-40y-3-159","[{""key"":""Применимость:"",""value"":""Суппорт""}]","Вал 1М63Б.40Э/3.159 для суппорта станка 1М63 (ДИП‑300)","Купить вал 1М63Б.40Э/3.159 для суппорта токарно-винторезного станка 1М63Н (ДИП‑300, 163, 1М63) и специального станка РТ301. Каталожная запчасть суппорта. ТД РУССтанкоСбыт","[{""spare_part_id"":""3a10d785-5dc4-4aff-907b-0a0779ee75f7""},{""spare_part_id"":""3a10d785-5dc4-4aff-907b-0a0779ee75f7""},{""spare_part_id"":""3a10d785-5dc4-4aff-907b-0a0779ee75f7""}]"
"Блок зубчатый 1М63Б.60.283","blok-zubcatyi-1m63b-60-283","[{""key"":""Применимость:"",""value"":""Фартук""},{""key"":""Позиция на кинематической схеме, №"",""value"":""142""},{""key"":""Число зубьев, z"",""value"":""69""},{""key"":""Модуль, m"",""value"":""1""},{""key"":""Ширина обода, мм"",""value"":""9""}]","Блок зубчатый 1М63Б.60.283 для фартука станка 1Н65, z69 m1","Купить блок зубчатый 1М63Б.60.283 для фартука токарного станка 1Н65 (ДИП‑500, 1М65), а также станков РТ117 и РТ817. Позиция 142 по схеме, z69, m1, обод 9 мм. ТД РУССтанкоСбыт","[{""spare_part_id"":""3a19028f-e0a3-4418-9630-17d468cb46d3""},{""spare_part_id"":""3a19028f-e0a3-4418-9630-17d468cb46d3""},{""spare_part_id"":""3a19028f-e0a3-4418-9630-17d468cb46d3""}]"
"Колесо зубчатое 1М63Б.40.198","koleso-zubcatoe-1m63b-40-198","[{""key"":""Применимость:"",""value"":""Суппорт""},{""key"":""Позиция на кинематической схеме, №"",""value"":""76""},{""key"":""Число зубьев, z"",""value"":""31""},{""key"":""Модуль, m"",""value"":""2""},{""key"":""Ширина обода, мм"",""value"":""14,6""}]","Колесо зубчатое 1М63Б.40.198 для суппорта станка 1М63, z31 m2","Купить колесо зубчатое 1М63Б.40.198 для суппорта токарного станка 1М63Н (ДИП‑300, 163, 1М63). Позиция 76 по схеме, z31, модуль 2, обод 14,6 мм. ТД РУССтанкоСбыт","[{""spare_part_id"":""3a33d341-2dc1-4464-a104-c898c2291eac""},{""spare_part_id"":""3a33d341-2dc1-4464-a104-c898c2291eac""},{""spare_part_id"":""3a33d341-2dc1-4464-a104-c898c2291eac""}]"
"Изготовление муфт для станков — кулачковые, фрикционные и обгонные муфты под заказ","jzgotovlenje-muft-dla-stankov-kulackovye-frjkcjonnye-j-obgonnye-mufty-pod-zakaz","[]","Изготовление муфт для станков — кулачковые, фрикционные и обгонные муфты под заказ","Изготовление всех видов муфт для токарных, фрезерных и других станков по образцу или чертежу. Кулачковые, фрикционные, обгонные, зубчатые муфты. Единичные и серийные партии. ТД РУССтанкоСбыт.","[]"
"Вал 2840П.64.181 привода стола станка 2840П","val-2840p-64-181-prjvoda-stola-stanka-2840p","[{""key"":""Применимость:"",""value"":""2840П""}]","Вал 2840П.64.181 привода стола станка 2840П","Купить вал 2840П.64.181 промежуточный шлицевой вал или вал-шестерня узла 64 (редуктор перемещения стола/салазок) тяжелого координатно-расточного станка 2840П повышенной точности. Работает в паре с валом .161 в кинематической цепи ЛСПО им. Свердлова. Применяемость и параметры вала уточняются по паспорту и чертежу станка. ТД РУССтанкоСбыт
","[]"
"Колесо зубчатое 1М63Б.08.166","koleso-zubcatoe-1m63b-08-166","[{""key"":""Применимость:"",""value"":""Гитара""},{""key"":""Позиция на кинематической схеме, №"",""value"":""d""},{""key"":""Число зубьев, z"",""value"":""86""},{""key"":""Модуль, m"",""value"":""2""},{""key"":""Ширина обода, мм"",""value"":""20""}]","Колесо зубчатое 1М63Б.08.166 для гитары станка 1М63, z86 m2","Купить колесо зубчатое 1М63Б.08.166 для гитары токарного станка 1М63Н (ДИП‑300, 163, 1М63) и станка РТ301. Позиция d по схеме, z86, модуль 2, обод 20 мм. ТД РУССтанкоСбыт","[{""spare_part_id"":""3cca5f66-0637-4531-ba47-3609e643d3fc""},{""spare_part_id"":""3cca5f66-0637-4531-ba47-3609e643d3fc""},{""spare_part_id"":""3cca5f66-0637-4531-ba47-3609e643d3fc""}]"
"Вал 1Н983М.20.156 ","val-1n983m-20-156","[{""key"":""Применимость:"",""value"":""Коробка скоростей (Шпиндельная бабка)""}]","Вал 1Н983М.20.156 для коробки скоростей станка 1Н983","Купить вал 1Н983М.20.156 для коробки скоростей (шпиндельной бабки) трубонарезного станка 1Н983 и 1А983. Оригинальная каталожная запчасть для трубонарезного оборудования. ТД РУССтанкоСбыт","[{""spare_part_id"":""3d186d3b-a377-4032-8e5d-1b729584b5d3""}]"
"Вал 1М63.21.381","val-1m63-21-381","[{""key"":""Применимость:"",""value"":""Шпиндельная бабка""},{""key"":""Вал оси - "",""value"":""IV""}]","Вал 1М63.21.381 4‑й оси коробки скоростей станка 1М63 (ДИП‑300)","Купить вал 1М63.21.381 4‑й оси коробки скоростей токарного станка 1М63Н (ДИП‑300, 163, 1М63). Каталожная запчасть шпиндельного привода. ТД РУССтанкоСбыт","[{""spare_part_id"":""3d3620bc-b674-4172-a38c-a187c706db13""},{""spare_part_id"":""3d3620bc-b674-4172-a38c-a187c706db13""},{""spare_part_id"":""3d3620bc-b674-4172-a38c-a187c706db13""}]"
"Вал 6Т83Г-1.64.253 редуктора стола станка 6Т83Г-1 ","val-6t83g-1-64-253-reduktora-stola-stanka-6t83g-1","[{""key"":""Применимость:"",""value"":""Редуктор перемещения стола""}]","Вал 6Т83Г-1.64.253 редуктора стола станка 6Т83Г-1 — купить, цена","Купить вал 6Т83Г-1.64.253 для редуктора стола горизонтально-фрезерного станка 6Т83Г-1. Моторный ведомый вал привода подач стола, каталожная запчасть. ТД РУССтанкоСбыт.","[]"
"Колесо зубчатое 164.07.179","koleso-zubcatoe-164-07-179","[{""key"":""Применимость: "",""value"":""Коробка подач""},{""key"":""Позиция на кинематической схеме, №"",""value"":""51""},{""key"":""Число зубьев, z"",""value"":""40""},{""key"":""Модуль, m"",""value"":""2,5""},{""key"":""Ширина обода, мм"",""value"":""16""}]","Колесо зубчатое 164.07.179 для коробки подач станка 1Н65 (ДИП-500) z=40, m=2,5","Купить колесо зубчатое 164.07.179 для коробки подач токарно-винторезных станков 1Н65 (ДИП-500, 165, 1М65), РТ117 и РТ817. Позиция 51 по схеме, z=40, m=2,5. Запчасть ТД РУССтанкоСбыт","[{""spare_part_id"":""3e9289b7-45a8-4564-9129-0c986c6643b5""},{""spare_part_id"":""3e9289b7-45a8-4564-9129-0c986c6643b5""},{""spare_part_id"":""3e9289b7-45a8-4564-9129-0c986c6643b5""}]"
"Колесо зубчатое 16М50.70.182","koleso-zubcatoe-16m50-70-182","[{""key"":""Применимость:"",""value"":""Коробка подач с питчевыми резьбами""},{""key"":""Позиция на кинематической схеме, №"",""value"":""91, 92""},{""key"":""Число зубьев, z"",""value"":""57/68""},{""key"":""Модуль, m"",""value"":""2,5""},{""key"":""Ширина обода, мм"",""value"":""10/16""}]","Колесо зубчатое 16М50.70.182 для коробки подач станка 1Н65 (ДИП-500) z57/68, m2,5","Купить колесо зубчатое 16М50.70.182 для коробки подач с питчевыми резьбами токарно-винторезных станков 1Н65 (ДИП-500, 165, 1М65), РТ117 и РТ817. Позиции 91, 92 по схеме, z57/68, m2,5. Запчасть ТД РУССтанкоСбыт.","[{""spare_part_id"":""3f8892cc-7935-4c58-b0f6-879551b637ec""},{""spare_part_id"":""3f8892cc-7935-4c58-b0f6-879551b637ec""},{""spare_part_id"":""3f8892cc-7935-4c58-b0f6-879551b637ec""}]"
"Вал 1Н983.20.279","val-1n983-20-279","[{""key"":""Применимость:"",""value"":""Шпиндельная бабка""}]","Вал 1Н983.20.279 для шпиндельной бабки трубонарезного станка 1Н983","Купить вал 1Н983.20.279 для шпиндельной бабки (коробки скоростей) специального трубонарезного станка 1А983, 1Н983. Каталожная запчасть для трубообрабатывающего станка. ТД РУССтанкоСбыт.","[{""spare_part_id"":""3fc27c07-0198-4eed-8834-bae2f438ff4e""}]"
"Изготовление зубчатых блоков для станков — блоки шестерён под заказ","jzgotovlenje-zubcatyh-blokov-dla-stankov-blokj-sesteren-pod-zakaz","[]","Изготовление зубчатых блоков для станков — блоки шестерён под заказ","Изготовление зубчатых блоков для токарных, фрезерных и других станков по образцу или чертежу. Двух-, трёх- и многоступенчатые блоки для коробок подач и скоростей. Единичные и серийные партии. ТД РУССтанкоСбыт.","[]"
"Вал 1М63.21.229","val-1m63-21-229","[{""key"":""Применимость:"",""value"":""Шпиндельная бабка""},{""key"":""Позиция на кинематической схеме, №"",""value"":""В2""},{""key"":""Вал оси -"",""value"":""2""},{""key"":""Длина, мм"",""value"":""385-386""},{""key"":""Диаметр, мм"",""value"":""60""},{""key"":""Шлицевое соединение, мм"",""value"":""8х52х60х10""}]","Вал 1М63.21.229 для коробки скоростей станка 1М63 (ДИП‑300)","Купить вал 1М63.21.229 для коробки скоростей (шпиндельной бабки) токарного станка 1М63Н (ДИП‑300, 163, 1М63), а также станков 16К40 и РТ301. Позиция В2 по схеме. Запчасть ТД РУССтанкоСбыт.","[{""spare_part_id"":""40b9e913-240a-4b74-a332-b98750f4bc52""},{""spare_part_id"":""40b9e913-240a-4b74-a332-b98750f4bc52""},{""spare_part_id"":""40b9e913-240a-4b74-a332-b98750f4bc52""},{""spare_part_id"":""40b9e913-240a-4b74-a332-b98750f4bc52""}]"
"Блок зубчатый 1Н65.50.155","blok-zubcatyi-1n65-50-155","[{""key"":""Применимость:"",""value"":""Каретка""},{""key"":""Позиция на кинематической схеме, №"",""value"":""163, 164""},{""key"":""Число зубьев, z"",""value"":""23/25""},{""key"":""Модуль,m"",""value"":""3""},{""key"":""Ширина обода, мм"",""value"":""15/13,5""}]","Блок зубчатый 1Н65.50.155 для каретки станка 1Н65 (ДИП‑500, z23/25, модулем m3","Купить блок зубчатый 1Н65.50.155 для каретки токарно-винторезных станков 1Н65 (ДИП‑500, 165, 1М65), РТ117 и РТ817. Позиции 163, 164 по схеме, z23/25, m3. Запчасть ТД РУССтанкоСбыт","[{""spare_part_id"":""4131ee41-7b9d-479b-b427-0a60317ec204""},{""spare_part_id"":""4131ee41-7b9d-479b-b427-0a60317ec204""},{""spare_part_id"":""4131ee41-7b9d-479b-b427-0a60317ec204""}]"
"Колесо зубчатое 1А64.07.292","koleso-zubcatoe-1a64-07-292","[{""key"":""Применимость:"",""value"":""Коробка подач""},{""key"":""Позиция на кинематической схеме, №"",""value"":""45""},{""key"":""Число зубьев, z"",""value"":""48""},{""key"":""Ширина обода, мм"",""value"":""16""}]","Колесо зубчатое 1А64.07.292 для коробки подач станка 1Н65 (ДИП‑500), z48, ширина 16 мм","Купить колесо зубчатое 1А64.07.292 для коробки подач токарно-винторезных станков 1Н65 (ДИП‑500, 165, 1М65), РТ117 и РТ817. Позиция 45 по схеме, z48, ширина 16 мм. Запчасть ТД РУССтанкоСбыт.","[{""spare_part_id"":""41c7f876-69ba-4544-b39d-c36a8d36997e""},{""spare_part_id"":""41c7f876-69ba-4544-b39d-c36a8d36997e""},{""spare_part_id"":""41c7f876-69ba-4544-b39d-c36a8d36997e""}]"
"Колесо зубчатое 1М63.02.321","koleso-zubcatoe-1m63-02-321","[{""key"":""Применимость:"",""value"":""Шпиндельная бабка""},{""key"":""Позиция на кинематической схеме, №"",""value"":""42""},{""key"":""Число зубьев, z"",""value"":""70""},{""key"":""Модуль, m"",""value"":""2""},{""key"":""Ширина обода, мм"",""value"":""14""}]","Колесо зубчатое 1М63.02.321 для шпиндельной бабки станка 1М63 (ДИП‑300), z70, m2","Купить колесо зубчатое 1М63.02.321 для шпиндельной бабки (коробки скоростей) токарно-винторезного станка 1М63Н (ДИП‑300, 163, 1М63), а также станков РТ301 и РТ30102. Позиция 42 по схеме, z70, m2, ширина 14 мм. Запчасть ТД РУССтанкоСбыт","[{""spare_part_id"":""42e038a4-f3ac-4dda-85c1-92467a943b51""},{""spare_part_id"":""42e038a4-f3ac-4dda-85c1-92467a943b51""},{""spare_part_id"":""42e038a4-f3ac-4dda-85c1-92467a943b51""}]"
"Колесо зубчатое 1А64.02.832","koleso-zubcatoe-1a64-02-832","[{""key"":""Применимость:"",""value"":""Шпиндельная бабка""},{""key"":""Позиция на кинетической схеме, №"",""value"":""27, 30""},{""key"":""Число зубьев, z"",""value"":""35""},{""key"":""Модуль, m"",""value"":""3""},{""key"":""Ширина обода, мм"",""value"":""22""}]","Колесо зубчатое 1А64.02.832 для шпиндельной бабки станка 1Н65 (ДИП‑500), z36, m3","Купить колесо зубчатое 1А64.02.832 для шпиндельной бабки токарно-винторезных станков 1Н65 (ДИП‑500, 165, 1М65), РТ117 и РТ817. Позиции 27, 30 по схеме, z36, m3, ширина 22 мм. Запчасть ТД РУССтанкоСбыт.","[{""spare_part_id"":""4319ea57-3327-4ba1-98cf-6ad0a603c800""},{""spare_part_id"":""4319ea57-3327-4ba1-98cf-6ad0a603c800""},{""spare_part_id"":""4319ea57-3327-4ba1-98cf-6ad0a603c800""}]"
"Колесо зубчатое 16М50.70.187","koleso-zubcatoe-16m50-70-187","[{""key"":""Применимость:"",""value"":""Коробка подач с питчевыми резьбами""},{""key"":""Позиция на кинематической схеме, №"",""value"":""88""},{""key"":""Число зубьев, z"",""value"":""52""},{""key"":""Модуль, m"",""value"":""2,75""},{""key"":""Ширина обода, мм"",""value"":""16""}]","Колесо зубчатое 16М50.70.187 для коробки подач станка 1Н65 (ДИП‑500), z52, m2,75","Купить колесо зубчатое 16М50.70.187 для коробки подач с питчевыми резьбами токарно-винторезных станков 1Н65 (ДИП‑500, 165, 1М65), РТ117 и РТ817. Позиция 88 по схеме, z52, m2,75, ширина 16 мм. Запчасть ТД РУССтанкоСбыт","[{""spare_part_id"":""4372131d-d089-4ee5-a275-53f804e7b1fe""},{""spare_part_id"":""4372131d-d089-4ee5-a275-53f804e7b1fe""},{""spare_part_id"":""4372131d-d089-4ee5-a275-53f804e7b1fe""}]"
"Вал 1М63Б.40.179","val-1m63b-40-179","[{""key"":""Применимость:"",""value"":""Фартук""},{""key"":""Позиция на кинематической схеме, №"",""value"":""В25""}]","Вал 1М63Б.40.179 для фартука станка 1М63 (ДИП‑300)","Купить вал 1М63Б.40.179 для фартука токарно-винторезного станка 1М63Н (ДИП‑300, 163, 1М63), а также станков 16К40, РТ301 и РТ30102. Позиция В25 по схеме суппорта. Запчасть ТД РУССтанкоСбыт","[{""spare_part_id"":""43bcbdf3-253f-430f-b63c-510c911ef1c6""},{""spare_part_id"":""43bcbdf3-253f-430f-b63c-510c911ef1c6""},{""spare_part_id"":""43bcbdf3-253f-430f-b63c-510c911ef1c6""},{""spare_part_id"":""43bcbdf3-253f-430f-b63c-510c911ef1c6""}]"
"Колесо зубчатое 1А64.02.861","koleso-zubcatoe-1a64-02-861","[{""key"":""Применимость:"",""value"":""Шпиндельная бабка""},{""key"":""Позиция на кинематической схеме, №"",""value"":""11""},{""key"":""Число зубьев, z"",""value"":""42""},{""key"":""Модуль, m"",""value"":""4""},{""key"":""Ширина обода, мм"",""value"":""22""},{""key"":""Номер оси"",""value"":""III""}]","Колесо зубчатое 1А64.02.861 (3‑й оси) m4, z42, ширина 22 мм для шпиндельной бабки станка 1Н65 (ДИП‑500)","Купить колесо зубчатое 1А64.02.861 (3‑я ось, m4, z42, ширина 22 мм) для шпиндельной бабки токарно-винторезных станков 1Н65 (ДИП‑500, 165, 1М65), РТ117 и РТ817. Запчасть ТД РУССтанкоСбыт","[{""spare_part_id"":""43cefb4d-5e7c-423e-b509-e8094a4a630e""},{""spare_part_id"":""43cefb4d-5e7c-423e-b509-e8094a4a630e""},{""spare_part_id"":""43cefb4d-5e7c-423e-b509-e8094a4a630e""}]"
"Вал 1П756ДФ3.20.207 ","val-1p756df3-20-207","[{""key"":""Применимость:"",""value"":""Шпиндельная бабка""}]","Вал 1П756ДФ3.20.207 шпиндельной бабки станка 1П756ДФ3","Купить вал 1П756ДФ3.20.207 для токарного патронного полуавтомата с ЧПУ 1П756ДФ3. Каталожная запчасть привода станка, подбор по документации и схеме. Запчасть ТД РУССтанкоСбыт.","[]"
"Колесо зубчатое 1М63Н.08.175","koleso-zubcatoe-1m63n-08-175","[{""key"":""Применимость: "",""value"":""Гитара""},{""key"":""Позиция на кинематической схеме, №"",""value"":""g""},{""key"":""Число зубьев, z"",""value"":""36""},{""key"":""Модуль, m"",""value"":""2""},{""key"":""Ширина обода, мм"",""value"":""24""}]","Колесо зубчатое 1М63Н.08.175 для гитары станка 1М63Н (ДИП‑300), z36, m2, ширина 24 мм","Купить колесо зубчатое 1М63Н.08.175 для гитары токарно-винторезного станка 1М63Н (ДИП‑300, 163, 1М63) и специального токарно-накатного станка РТ301. Позиция g по схеме, z36, m2, ширина 24 мм. Запчасть ТД РУССтанкоСбыт","[{""spare_part_id"":""44c6848c-ce1e-497b-b100-6da1fc9e3ce8""},{""spare_part_id"":""44c6848c-ce1e-497b-b100-6da1fc9e3ce8""},{""spare_part_id"":""44c6848c-ce1e-497b-b100-6da1fc9e3ce8""}]"
"Вал 1Н983.20.178","val-1n983-20-178","[{""key"":""Применимость:"",""value"":""Шпиндельная бабка""}]","Вал 1Н983.20.178 для шпиндельной бабки трубонарезного станка 1Н983","Купить вал 1Н983.20.178 для шпиндельной бабки (коробки скоростей) специального трубонарезного станка 1А983, 1Н983. Каталожная запчасть для трубообрабатывающих станков. Запчасть ТД РУССтанкоСбыт","[{""spare_part_id"":""44da32c8-800d-4f2f-bac4-d0f93618fbb4""}]"
"Пиноль 1К62.03.36","pjnole-1k62-03-36","[{""key"":""Применимость:"",""value"":""Задняя бабка""},{""key"":""Диаметр пиноли, мм"",""value"":""75-80""},{""key"":""Конус Морзе"",""value"":""МТ5""}]","Пиноль 1К62.03.36 для задней бабки токарного станка 1К62 и аналогичных моделях 16К20, 16К25","Купить пиноль 1К62.03.36 для задней бабки токарно-винторезного станка 1К62 и 1К625. Ремонтная пиноль с конусом Морзе MT5 для установки центра или инструмента. Запчасть ТД РУССтанкоСбыт.","[]"
"Колесо зубчатое 1М63Б.70.214","koleso-zubcatoe-1m63b-70-214","[{""key"":""Применимость:"",""value"":""Коробка подач""},{""key"":""Позиция на кинематической схеме, №"",""value"":""45""},{""key"":""Число зубьев, z"",""value"":""30""},{""key"":""Модуль, m"",""value"":""2,75""},{""key"":""Ширина обода, мм"",""value"":""17""}]","Колесо зубчатое 1М63Б.70.214 для коробки подач станка 1М63 (ДИП‑300), z30, m2,75, ширина 17 мм","Купить колесо зубчатое 1М63Б.70.214 для коробки подач токарно-винторезных станков 1М63Н (ДИП‑300, 163, 1М63), 1М63БФ101, 16К40 и специального станка РТ301. Позиция 45 по схеме, z30, m2,75, ширина 17 мм. Запчасть ТД РУССтанкоСбыт","[{""spare_part_id"":""47f1f3bf-aa74-43aa-aed1-3bbff04ab573""},{""spare_part_id"":""47f1f3bf-aa74-43aa-aed1-3bbff04ab573""},{""spare_part_id"":""47f1f3bf-aa74-43aa-aed1-3bbff04ab573""}]"
"Колесо зубчатое 1Н65.50.153","koleso-zubcatoe-1n65-50-153","[{""key"":""Применимость:"",""value"":""Каретка""},{""key"":""Позиция на кинематической схеме, №"",""value"":""161""},{""key"":""Число зубьев, z"",""value"":""17""},{""key"":""Модуль, m"",""value"":""3,5""},{""key"":""Ширина обода, мм"",""value"":""29,5""}]","Колесо зубчатое 1Н65.50.153 для каретки станка 1Н65 (ДИП‑500), z17, m3,5","Купить колесо зубчатое 1Н65.50.153 для каретки токарно-винторезного станка 1Н65 (ДИП‑500, 165, 1М65) и РТ117. Позиция 161 по схеме, z17, m3,5, ширина 29,5 мм. Запчасть ТД РУССтанкоСбыт","[{""spare_part_id"":""4860ff52-f508-4dd4-8b9e-6dd1c4dee434""},{""spare_part_id"":""4860ff52-f508-4dd4-8b9e-6dd1c4dee434""},{""spare_part_id"":""4860ff52-f508-4dd4-8b9e-6dd1c4dee434""}]"
"Блок зубчатый 1М63Б.60.282","blok-zubcatyi-1m63b-60-282","[{""key"":""Применимость:"",""value"":""Фартук""},{""key"":""Позиция на кинематической схеме, №"",""value"":""141""},{""key"":""Число зубьев, z"",""value"":""142""},{""key"":""Модуль, m"",""value"":""1""},{""key"":""Ширина обода, мм"",""value"":""9""}]","Блок зубчатый 1М63Б.60.282 для фартука станка 1Н65 (ДИП‑500)","Купить блок зубчатый 1М63Б.60.282 для фартука токарно-винторезных станков 1Н65 (ДИП‑500, 165, 1М65), РТ117 и РТ817. Позиция 141 по схеме, z142, m1, ширина 9 мм. Запчасть ТД РУССтанкоСбыт","[{""spare_part_id"":""49ddbfab-d698-4462-9f29-b5815724f55b""},{""spare_part_id"":""49ddbfab-d698-4462-9f29-b5815724f55b""},{""spare_part_id"":""49ddbfab-d698-4462-9f29-b5815724f55b""}]"
"Вал 163.06.335","val-163-06-335","[{""key"":""Применимость:"",""value"":""Задняя бабка""},{""key"":""Диаметр вала, Ø мм "",""value"":""25–32""},{""key"":""Длина вала, мм  "",""value"":""200–300""},{""key"":""Материал:  "",""value"":""Сталь 45""},{""key"":""Закалка поверхности:"",""value"":""да""},{""key"":""Вал оси - "",""value"":""9""},{""key"":""Позиция по схеме фартука"",""value"":""162""}]","Вал 163.06.335 (1М63.06.335) для фартука станка 1М63 (ДИП‑300)","Купить вал 163.06.335 (1М63.06.335) для фартука токарно-винторезного станка 1М63 (163, ДИП‑300). Вал 9‑й оси, позиция 162 по чертежу разреза фартука. Запчасть ТД РУССтанкоСбыт","[]"
"Вал 1Н983.20.357","val-1n983-20-357","[{""key"":""Применимость:"",""value"":""коробки скоростей""}]","Вал 1Н983.20.357 для шпиндельной бабки трубонарезного станка 1Н983","Купить вал 1Н983.20.357 для шпиндельной бабки специального трубонарезного станка 1А983, 1Н983. Оригинальная каталожная запчасть, подбор по документации станка. Запчасть ТД РУССтанкоСбыт","[{""spare_part_id"":""4aad33aa-fe7e-4d2c-a178-0d0262c0ed7c""}]"
