name,description,meta_title,meta_description
Колесо зубчатое 16М50.70.187,"Колесо зубчатое 16М50.70.187 — зубчатое колесо коробки подач. Обеспечивает передачу крутящего момента между валами в кинематической цепи.

Применяется в коробки подач токарно-винторезных станков 16М50. Устанавливается в соответствии с кинематической схемой.

Позиция 88 по кинематической схеме
Число зубьев: 52
Ширина венца: 16 мм

При подборе сверяйте каталожный номер: 16М50.70.187.",16М50.70.187 коробки подач станка 16М — купить | ТД РУССтанкоСбыт,"Купить 16М50.70.187 для коробки подач 16М50, 6М50. поз. 88, z=52. Запчасть для ремонта. Подбор по каталогу — ТД РУССтанкоСбыт."
Вал 1М63Б.40.179,"Вал 1М63Б.40.179 — вал фартука. Обеспечивает передачу крутящего момента в узле станка.

Применяется на станках 1М63Б.

При подборе сверяйте каталожный номер: 1М63Б.40.179.",1М63Б.40.179 для 1М63Б — купить | ТД РУССтанкоСбыт,Купить 1М63Б.40.179 для станков 1М63Б. Запасная часть по заводской документации. Подбор по каталогу — ТД РУССтанкоСбыт.
Колесо зубчатое 1А64.02.861,"Колесо зубчатое 1А64.02.861 — зубчатое колесо шпиндельной бабки (коробки скоростей). Обеспечивает передачу крутящего момента между валами в кинематической цепи.

Применяется в шпиндельной бабки (коробки скоростей) токарно-винторезных станков 1А64. Устанавливается в соответствии с кинематической схемой.

Позиция 11 по кинематической схеме
Число зубьев: 42
Модуль: 4.0
Ширина венца: 22 мм

При подборе сверяйте каталожный номер: 1А64.02.861.",1А64.02.861 шпиндельной бабки станка — купить | ТД РУССтанкоСбыт,"Купить 1А64.02.861 для шпиндельной бабки 1А64. поз. 11, z=42, m=4.0. Запчасть для ремонта. Подбор по каталогу — ТД РУССтанкоСбыт."
Вал 1П756ДФ3.20.207,"Вал 1П756ДФ3.20.207 — вал токарного станка. Обеспечивает передачу крутящего момента в узле станка.

Применяется на токарных станках.

При подборе сверяйте каталожный номер: 1П756ДФ3.20.207.",1П756ДФ3.20.207 — купить | ТД РУССтанкоСбыт,Купить 1П756ДФ3.20.207. Вал токарного станка по заводской документации. Подбор по каталогу — ТД РУССтанкоСбыт.
Колесо зубчатое 1М63Н.08.175,"Колесо зубчатое 1М63Н.08.175 — зубчатое колесо Сменные шестерни. Обеспечивает передачу крутящего момента между валами в кинематической цепи.

Применяется в Сменные шестерни токарно-винторезных станков 1М63Н. Устанавливается в соответствии с кинематической схемой.

Число зубьев: 36
Модуль: 2.0
Ширина венца: 24 мм

При подборе сверяйте каталожный номер: 1М63Н.08.175.",1М63Н.08.175 станка 1М63Н — купить | ТД РУССтанкоСбыт,"Купить 1М63Н.08.175 для Сменные шестерни 1М63Н. z=36, m=2.0. Запчасть для ремонта. Подбор по каталогу — ТД РУССтанкоСбыт."
Вал 1Н983.20.178,"Вал 1Н983.20.178 — вал токарного станка. Обеспечивает передачу крутящего момента в узле станка.

Применяется на токарных станках.

При подборе сверяйте каталожный номер: 1Н983.20.178.",1Н983.20.178 для 1Н983 — купить | ТД РУССтанкоСбыт,Купить 1Н983.20.178 для станков 1Н983. Запасная часть по заводской документации. Подбор по каталогу — ТД РУССтанкоСбыт.
Пиноль 1К62.03.36,"Пиноль 1К62.03.36 — пиноль задней бабки токарного станка. Обеспечивает поддержку и фиксацию заготовки при обработке длинномерных деталей.

Применяется в задней бабке токарного станка.

При подборе сверяйте каталожный номер: 1К62.03.36.",1К62.03.36 — купить | ТД РУССтанкоСбыт,Купить 1К62.03.36. Запчасть по заводской документации. Подбор по каталогу — ТД РУССтанкоСбыт.
Колесо зубчатое 1М63Б.70.214,"Колесо зубчатое 1М63Б.70.214 — зубчатое колесо коробки подач. Обеспечивает передачу крутящего момента между валами в кинематической цепи.

Применяется в коробки подач токарно-винторезных станков 1М63Б. Устанавливается в соответствии с кинематической схемой.

Позиция 45 по кинематической схеме
Число зубьев: 30
Модуль: 2.75
Ширина венца: 17 мм

При подборе сверяйте каталожный номер: 1М63Б.70.214.",1М63Б.70.214 станка 1М63Б — купить | ТД РУССтанкоСбыт,"Купить 1М63Б.70.214 для коробки подач 1М63Б. поз. 45, z=30, m=2.75. Запчасть для ремонта. Подбор по каталогу — ТД РУССтанкоСбыт."
Колесо зубчатое 1Н65.50.153,"Колесо зубчатое 1Н65.50.153 — зубчатое колесо каретки. Обеспечивает передачу крутящего момента между валами в кинематической цепи.

Применяется в каретки токарно-винторезных станков 1Н65. Устанавливается в соответствии с кинематической схемой.

Позиция 161 по кинематической схеме
Число зубьев: 17
Модуль: 3.5
Ширина венца: 29 мм

При подборе сверяйте каталожный номер: 1Н65.50.153.",1Н65.50.153 каретки станка 1Н65 — купить | ТД РУССтанкоСбыт,"Купить 1Н65.50.153 для каретки 1Н65. поз. 161, z=17, m=3.5. Запчасть для ремонта. Подбор по каталогу — ТД РУССтанкоСбыт."
Блок зубчатый 1М63Б.60.282,"Блок зубчатый 1М63Б.60.282 — блок зубчатых колёс фартука. Применяется для переключения скоростей в коробке скоростей станка.

Устанавливается в фартука токарных станков 1М63Б. Перемещается по шлицевому валу.

Позиция 141 по кинематической схеме
Число зубьев: 142
Ширина венца: 9 мм

При подборе сверяйте каталожный номер: 1М63Б.60.282.",1М63Б.60.282 для 1М63Б — купить | ТД РУССтанкоСбыт,Купить 1М63Б.60.282 для 1М63Б. Подбор по каталогу и чертежам — ТД РУССтанкоСбыт.
Вал 163.06.335,"Вал 163.06.335 — вал токарного станка. Обеспечивает передачу крутящего момента в узле станка.

Применяется на станках 163.

При подборе сверяйте каталожный номер: 163.06.335.",163.06.335 для 163 — купить | ТД РУССтанкоСбыт,Купить 163.06.335 для станков 163. Запасная часть по заводской документации. Подбор по каталогу — ТД РУССтанкоСбыт.
Вал 1Н983.20.357,"Вал 1Н983.20.357 — вал токарного станка. Обеспечивает передачу крутящего момента в узле станка.

Применяется на токарных станках.

При подборе сверяйте каталожный номер: 1Н983.20.357.",1Н983.20.357 для 1Н983 — купить | ТД РУССтанкоСбыт,Купить 1Н983.20.357 для станков 1Н983. Запасная часть по заводской документации. Подбор по каталогу — ТД РУССтанкоСбыт.
Вал 6Т83Г-1.60.253 привода стола станка 6Т83Г-1,"Вал 6Т83Г-1.60.253 привода стола станка 6Т83Г-1 — вал токарного станка. Обеспечивает передачу крутящего момента в узле станка.

Применяется на токарных станках.

При подборе сверяйте каталожный номер: 6Т83Г-1.60.253.",6Т83Г-1.60.253 для 6Т83Г — купить | ТД РУССтанкоСбыт,Купить 6Т83Г-1.60.253 для станков 6Т83Г. Запасная часть по заводской документации. Подбор по каталогу — ТД РУССтанкоСбыт.
Гайка 1Н65.30.024,"Гайка 1Н65.30.024. Применяется в узлах токарного станка в качестве запасной части.

Устанавливается на станках 1Н65.

Позиция 154 по кинематической схеме
Число зубьев: 1
Ширина венца: 90 мм

При подборе сверяйте каталожный номер: 1Н65.30.024.",1Н65.30.024 для 1Н65 — купить | ТД РУССтанкоСбыт,Купить 1Н65.30.024 для 1Н65. Подбор по каталогу и чертежам — ТД РУССтанкоСбыт.
Колесо зубчатое 1А64.07.295,"Колесо зубчатое 1А64.07.295 — зубчатое колесо коробки подач. Обеспечивает передачу крутящего момента между валами в кинематической цепи.

Применяется в коробки подач токарно-винторезных станков 1А64. Устанавливается в соответствии с кинематической схемой.

Позиция 48 по кинематической схеме
Число зубьев: 60
Ширина венца: 16 мм

При подборе сверяйте каталожный номер: 1А64.07.295.",1А64.07.295 коробки подач станка 1А64 — купить | ТД РУССтанкоСбыт,"Купить 1А64.07.295 для коробки подач 1А64. поз. 48, z=60. Запчасть для ремонта. Подбор по каталогу — ТД РУССтанкоСбыт."
Колесо зубчатое 1М63Б.70.247,"Колесо зубчатое 1М63Б.70.247 — зубчатое колесо коробки подач. Обеспечивает передачу крутящего момента между валами в кинематической цепи.

Применяется в коробки подач токарно-винторезных станков 1М63Б. Устанавливается в соответствии с кинематической схемой.

Позиция 73 по кинематической схеме
Число зубьев: 32
Ширина венца: 16 мм

При подборе сверяйте каталожный номер: 1М63Б.70.247.",1М63Б.70.247 станка 1М63Б — купить | ТД РУССтанкоСбыт,"Купить 1М63Б.70.247 для коробки подач 1М63Б. поз. 73, z=32. Запчасть для ремонта. Подбор по каталогу — ТД РУССтанкоСбыт."
Втулка 165.02.403СБ,"Втулка 165.02.403СБ — запасная часть для токарного станка.

Применяется на станках 165.

При подборе сверяйте каталожный номер: 165.02.403СБ.",165.02.403СБ для 165 — купить | ТД РУССтанкоСбыт,Купить 165.02.403СБ для 165. Подбор по каталогу и чертежам — ТД РУССтанкоСбыт.
Колесо зубчатое 165.02.446,"Колесо зубчатое 165.02.446 — зубчатое колесо шпиндельной бабки (коробки скоростей). Обеспечивает передачу крутящего момента между валами в кинематической цепи.

Применяется в шпиндельной бабки (коробки скоростей) токарно-винторезных станков 165. Устанавливается в соответствии с кинематической схемой.

Позиция 3 по кинематической схеме
Число зубьев: 32
Модуль: 3.5
Ширина венца: 25 мм

При подборе сверяйте каталожный номер: 165.02.446.",165.02.446 шпиндельной бабки станка 1 — купить | ТД РУССтанкоСбыт,"Купить 165.02.446 для шпиндельной бабки 165. поз. 3, z=32, m=3.5. Запчасть для ремонта. Подбор по каталогу — ТД РУССтанкоСбыт."
Колесо зубчатое 1М63.02.438,"Колесо зубчатое 1М63.02.438 — зубчатое колесо шпиндельной бабки (коробки скоростей). Обеспечивает передачу крутящего момента между валами в кинематической цепи.

Применяется в шпиндельной бабки (коробки скоростей) токарно-винторезных станков 1М63. Устанавливается в соответствии с кинематической схемой.

Позиция 33 по кинематической схеме
Число зубьев: 28

При подборе сверяйте каталожный номер: 1М63.02.438.",1М63.02.438 шпиндельной бабки станка — купить | ТД РУССтанкоСбыт,"Купить 1М63.02.438 для шпиндельной бабки 1М63. поз. 33, z=28. Запчасть для ремонта. Подбор по каталогу — ТД РУССтанкоСбыт."
Колесо зубчатое 1А64.02.862,"Колесо зубчатое 1А64.02.862 — зубчатое колесо шпиндельной бабки (коробки скоростей). Обеспечивает передачу крутящего момента между валами в кинематической цепи.

Применяется в шпиндельной бабки (коробки скоростей) токарно-винторезных станков 1А64. Устанавливается в соответствии с кинематической схемой.

Позиция 7 по кинематической схеме
Число зубьев: 49
Ширина венца: 30 мм

При подборе сверяйте каталожный номер: 1А64.02.862.",1А64.02.862 шпиндельной бабки станка — купить | ТД РУССтанкоСбыт,"Купить 1А64.02.862 для шпиндельной бабки 1А64. поз. 7, z=49. Запчасть для ремонта. Подбор по каталогу — ТД РУССтанкоСбыт."
Колесо зубчатое 1Н65.60.177,"Колесо зубчатое 1Н65.60.177 — зубчатое колесо фартука. Обеспечивает передачу крутящего момента между валами в кинематической цепи.

Применяется в фартука токарно-винторезных станков 1Н65. Устанавливается в соответствии с кинематической схемой.

Позиция 129 по кинематической схеме
Число зубьев: 53
Модуль: 3.5
Ширина венца: 42 мм

При подборе сверяйте каталожный номер: 1Н65.60.177.",1Н65.60.177 фартука станка 1Н65 — купить | ТД РУССтанкоСбыт,"Купить 1Н65.60.177 для фартука 1Н65. поз. 129, z=53, m=3.5. Запчасть для ремонта. Подбор по каталогу — ТД РУССтанкоСбыт."
Колесо зубчатое 1М63Б.20.189,"Колесо зубчатое 1М63Б.20.189 — зубчатое колесо шпиндельной бабки (коробки скоростей). Обеспечивает передачу крутящего момента между валами в кинематической цепи.

Применяется в шпиндельной бабки (коробки скоростей) токарно-винторезных станков 1М63Б. Устанавливается в соответствии с кинематической схемой.

Позиция 13 по кинематической схеме
Число зубьев: 60
Ширина венца: 28 мм

При подборе сверяйте каталожный номер: 1М63Б.20.189.",1М63Б.20.189 шпиндельной бабки станка — купить | ТД РУССтанкоСбыт,"Купить 1М63Б.20.189 для шпиндельной бабки 1М63Б. поз. 13, z=60. Запчасть для ремонта. Подбор по каталогу — ТД РУССтанкоСбыт."
Зубчатое колесо 16М50.70.161,"Зубчатое колесо 16М50.70.161 — зубчатое колесо коробки подач. Обеспечивает передачу крутящего момента между валами в кинематической цепи.

Применяется в коробки подач токарно-винторезных станков 16М50. Устанавливается в соответствии с кинематической схемой.

Позиция 106 по кинематической схеме
Число зубьев: 39
Модуль: 2.75
Ширина венца: 16 мм

При подборе сверяйте каталожный номер: 16М50.70.161.",16М50.70.161 коробки подач станка 16М — купить | ТД РУССтанкоСбыт,"Купить 16М50.70.161 для коробки подач 16М50, 6М50. поз. 106, z=39, m=2.75. Запчасть для ремонта. Подбор по каталогу — ТД РУССтанкоСбыт."
Колесо зубчатое 1А64.07.362,"Колесо зубчатое 1А64.07.362 — зубчатое колесо коробки подач. Обеспечивает передачу крутящего момента между валами в кинематической цепи.

Применяется в коробки подач токарно-винторезных станков 1А64. Устанавливается в соответствии с кинематической схемой.

Позиция 63 по кинематической схеме
Число зубьев: 50
Ширина венца: 16 мм

При подборе сверяйте каталожный номер: 1А64.07.362.",1А64.07.362 коробки подач станка 1А64 — купить | ТД РУССтанкоСбыт,"Купить 1А64.07.362 для коробки подач 1А64. поз. 63, z=50. Запчасть для ремонта. Подбор по каталогу — ТД РУССтанкоСбыт."
Колесо зубчатое 1М63.04.159,"Колесо зубчатое 1М63.04.159 — зубчатое колесо суппорта. Обеспечивает передачу крутящего момента между валами в кинематической цепи.

Применяется в суппорта токарно-винторезных станков 1М63. Устанавливается в соответствии с кинематической схемой.

Позиция 80 по кинематической схеме
Число зубьев: 30
Ширина венца: 14 мм

При подборе сверяйте каталожный номер: 1М63.04.159.",1М63.04.159 суппорта станка 1М63 — купить | ТД РУССтанкоСбыт,"Купить 1М63.04.159 для суппорта 1М63. поз. 80, z=30. Запчасть для ремонта. Подбор по каталогу — ТД РУССтанкоСбыт."
Колесо зубчатое 1Н65.08.155,"Колесо зубчатое 1Н65.08.155 — зубчатое колесо коробки подач. Обеспечивает передачу крутящего момента между валами в кинематической цепи.

Применяется в коробки подач токарно-винторезных станков 1Н65. Устанавливается в соответствии с кинематической схемой.

Число зубьев: 58
Ширина венца: 25 мм

При подборе сверяйте каталожный номер: 1Н65.08.155.",1Н65.08.155 коробки подач станка 1Н65 — купить | ТД РУССтанкоСбыт,Купить 1Н65.08.155 для коробки подач 1Н65. z=58. Запчасть для ремонта. Подбор по каталогу — ТД РУССтанкоСбыт.
Колесо зубчатое 1А64.07.380,"Колесо зубчатое 1А64.07.380 — зубчатое колесо коробки подач. Обеспечивает передачу крутящего момента между валами в кинематической цепи.

Применяется в коробки подач токарно-винторезных станков 1А64. Устанавливается в соответствии с кинематической схемой.

Позиция 35 по кинематической схеме
Число зубьев: 37
Ширина венца: 14 мм

При подборе сверяйте каталожный номер: 1А64.07.380.",1А64.07.380 коробки подач станка 1А64 — купить | ТД РУССтанкоСбыт,"Купить 1А64.07.380 для коробки подач 1А64. поз. 35, z=37. Запчасть для ремонта. Подбор по каталогу — ТД РУССтанкоСбыт."
Колесо зубчатое 1М63.02.210,"Колесо зубчатое 1М63.02.210 — зубчатое колесо шпиндельной бабки (коробки скоростей). Обеспечивает передачу крутящего момента между валами в кинематической цепи.

Применяется в шпиндельной бабки (коробки скоростей) токарно-винторезных станков 1М63. Устанавливается в соответствии с кинематической схемой.

Позиция 35 по кинематической схеме
Число зубьев: 38
Ширина венца: 34 мм

При подборе сверяйте каталожный номер: 1М63.02.210.",1М63.02.210 шпиндельной бабки станка — купить | ТД РУССтанкоСбыт,"Купить 1М63.02.210 для шпиндельной бабки 1М63. поз. 35, z=38. Запчасть для ремонта. Подбор по каталогу — ТД РУССтанкоСбыт."
Шарико-винтовая пара (ШВП) 1П756ДФЗ.22.000,"Шарико-винтовая пара (ШВП) 1П756ДФЗ.22.000 — шарико-винтовая пара (ШВП). Преобразует вращательное движение двигателя в линейное перемещение рабочего органа станка с высокой точностью.

Применяется на станках с ЧПУ.

При подборе сверяйте каталожный номер: 1П756ДФЗ.22.000.",ШВП 1П756ДФЗ.22.000 — купить | ТД РУССтанкоСбыт,Купить ШВП 1П756ДФЗ.22.000. Точные линейные перемещения для станков с ЧПУ. Подбор по каталогу — ТД РУССтанкоСбыт.
Колесо зубчатое 1М63.21.217,"Колесо зубчатое 1М63.21.217 — зубчатое колесо шпиндельной бабки (коробки скоростей). Обеспечивает передачу крутящего момента между валами в кинематической цепи.

Применяется в шпиндельной бабки (коробки скоростей) токарно-винторезных станков 1М63. Устанавливается в соответствии с кинематической схемой.

Позиция 8 по кинематической схеме
Число зубьев: 40
Ширина венца: 20 мм

При подборе сверяйте каталожный номер: 1М63.21.217.",1М63.21.217 шпиндельной бабки станка — купить | ТД РУССтанкоСбыт,"Купить 1М63.21.217 для шпиндельной бабки 1М63. поз. 8, z=40. Запчасть для ремонта. Подбор по каталогу — ТД РУССтанкоСбыт."
Изготовление вкладышей и захватов для закрепления заготовки или инструмента,"Изготовление вкладышей и захватов для закрепления заготовки или инструмента. Выполняем по чертежам заказчика, образцу или каталожному номеру.

Поставка и изготовление — ТД РУССтанкоСбыт.

Подбор по каталогу и чертежам заказчика.",Изготовление вкладышей и захватов для — купить | ТД РУССтанкоСбыт,Купить Изготовление вкладышей и захватов для закрепления заготовки или инструмента. Подбор по каталогу — ТД РУССтанкоСбыт.
Колесо зубчатое 165.02.439,"Колесо зубчатое 165.02.439 — зубчатое колесо шпиндельной бабки (коробки скоростей). Обеспечивает передачу крутящего момента между валами в кинематической цепи.

Применяется в шпиндельной бабки (коробки скоростей) токарно-винторезных станков 165. Устанавливается в соответствии с кинематической схемой.

Позиция 18 по кинематической схеме
Число зубьев: 50
Ширина венца: 51 мм

При подборе сверяйте каталожный номер: 165.02.439.",165.02.439 шпиндельной бабки станка 1 — купить | ТД РУССтанкоСбыт,"Купить 165.02.439 для шпиндельной бабки 165. поз. 18, z=50. Запчасть для ремонта. Подбор по каталогу — ТД РУССтанкоСбыт."
Червяк 1М63.06.150,"Червяк 1М63.06.150 — червяк фартука. Обеспечивает передачу движения в червячной передаче.

Применяется на станках 1М63.

Позиция 94 по кинематической схеме
Число зубьев: 3
Модуль: 4.0
Ширина венца: 52 мм

При подборе сверяйте каталожный номер: 1М63.06.150.",1М63.06.150 для 1М63 — купить | ТД РУССтанкоСбыт,Купить 1М63.06.150 для 1М63. Подбор по каталогу и чертежам — ТД РУССтанкоСбыт.
Колесо зубчатое 16М50.70.193,"Колесо зубчатое 16М50.70.193 — зубчатое колесо коробки подач. Обеспечивает передачу крутящего момента между валами в кинематической цепи.

Применяется в коробки подач токарно-винторезных станков 16М50. Устанавливается в соответствии с кинематической схемой.

Позиция 82 по кинематической схеме
Число зубьев: 68
Модуль: 2.5
Ширина венца: 16 мм

При подборе сверяйте каталожный номер: 16М50.70.193.",16М50.70.193 коробки подач станка 16М — купить | ТД РУССтанкоСбыт,"Купить 16М50.70.193 для коробки подач 16М50, 6М50. поз. 82, z=68, m=2.5. Запчасть для ремонта. Подбор по каталогу — ТД РУССтанкоСбыт."
Шарико-винтовая пара (ШВП) 16М30Ф3.54.000 (РТ772Ф3),"Шарико-винтовая пара (ШВП) 16М30Ф3.54.000 (РТ772Ф3) — шарико-винтовая пара (ШВП). Преобразует вращательное движение двигателя в линейное перемещение рабочего органа станка с высокой точностью.

Применяется на станках 16М30.

При подборе сверяйте каталожный номер: 16М30Ф3.54.000.",ШВП 16М30Ф3.54.000 для станка 16М30 — купить | ТД РУССтанкоСбыт,"Купить шарико-винтовую пару 16М30Ф3.54.000 для станка 16М30, РТ772Ф3, 6М30Ф3. Точные линейные перемещения. Подбор — ТД РУССтанкоСбыт."
Колесо зубчатое 1Н65.60.165,"Колесо зубчатое 1Н65.60.165 — зубчатое колесо фартука. Обеспечивает передачу крутящего момента между валами в кинематической цепи.

Применяется в фартука токарно-винторезных станков 1Н65, 165. Устанавливается в соответствии с кинематической схемой.

Позиция 145 по кинематической схеме
Число зубьев: 37
Модуль: 2.5
Ширина венца: 13 мм

При подборе сверяйте каталожный номер: 1Н65.60.165.",1Н65.60.165 фартука станка 1Н65 — купить | ТД РУССтанкоСбыт,"Купить 1Н65.60.165 для фартука 1Н65, 165. поз. 145, z=37, m=2.5. Запчасть для ремонта. Подбор по каталогу — ТД РУССтанкоСбыт."
UВВ112Р.20.178 запчасть к станку RAFAMET UBB-112,"UВВ112Р.20.178 запчасть к станку RAFAMET UBB-112 — запасная часть для токарного станка.

Применяется на токарных станках.

При подборе сверяйте каталожный номер: UВВ112Р.20.178.",UВВ112Р.20.178 для UBB-112 — купить | ТД РУССтанкоСбыт,Купить UВВ112Р.20.178 для UBB-112. Подбор по каталогу и чертежам — ТД РУССтанкоСбыт.
Колесо зубчатое 1М63.02.426,"Колесо зубчатое 1М63.02.426 — зубчатое колесо шпиндельной бабки (коробки скоростей). Обеспечивает передачу крутящего момента между валами в кинематической цепи.

Применяется в шпиндельной бабки (коробки скоростей) токарно-винторезных станков 1М63. Устанавливается в соответствии с кинематической схемой.

Позиция 37 по кинематической схеме
Число зубьев: 34
Ширина венца: 9 мм

При подборе сверяйте каталожный номер: 1М63.02.426.",1М63.02.426 шпиндельной бабки станка — купить | ТД РУССтанкоСбыт,"Купить 1М63.02.426 для шпиндельной бабки 1М63. поз. 37, z=34. Запчасть для ремонта. Подбор по каталогу — ТД РУССтанкоСбыт."
Вал 1А64.07.395,"Вал 1А64.07.395 — вал коробки подач. Обеспечивает передачу крутящего момента в узле станка.

Применяется на станках 1А64.

При подборе сверяйте каталожный номер: 1А64.07.395.",1А64.07.395 для 1А64 — купить | ТД РУССтанкоСбыт,Купить 1А64.07.395 для станков 1А64. Запасная часть по заводской документации. Подбор по каталогу — ТД РУССтанкоСбыт.
Колесо червячное 1Н65.50.103,"Колесо червячное 1Н65.50.103 — запасная часть для токарного станка.

Применяется на станках 1Н65.

При подборе сверяйте каталожный номер: 1Н65.50.103.",1Н65.50.103 для 1Н65 — купить | ТД РУССтанкоСбыт,Купить 1Н65.50.103 для 1Н65. Подбор по каталогу и чертежам — ТД РУССтанкоСбыт.
Колесо зубчатое 16М50.70.151,"Колесо зубчатое 16М50.70.151 — зубчатое колесо коробки подач. Обеспечивает передачу крутящего момента между валами в кинематической цепи.

Применяется в коробки подач токарно-винторезных станков 16М50. Устанавливается в соответствии с кинематической схемой.

Позиция 115 по кинематической схеме
Число зубьев: 67
Модуль: 2.75
Ширина венца: 14 мм

При подборе сверяйте каталожный номер: 16М50.70.151.",16М50.70.151 коробки подач станка 16М — купить | ТД РУССтанкоСбыт,"Купить 16М50.70.151 для коробки подач 16М50, 6М50. поз. 115, z=67, m=2.75. Запчасть для ремонта. Подбор по каталогу — ТД РУССтанкоСбыт."
Вал 1А64.02.938,"Вал 1А64.02.938 — вал шпиндельной бабки (коробки скоростей). Обеспечивает передачу крутящего момента в узле станка.

Применяется на станках 1А64.

При подборе сверяйте каталожный номер: 1А64.02.938.",1А64.02.938 для 1А64 — купить | ТД РУССтанкоСбыт,Купить 1А64.02.938 для станков 1А64. Запасная часть по заводской документации. Подбор по каталогу — ТД РУССтанкоСбыт.
Колесо зубчатое 1А64.02.848,"Колесо зубчатое 1А64.02.848 — зубчатое колесо шпиндельной бабки (коробки скоростей). Обеспечивает передачу крутящего момента между валами в кинематической цепи.

Применяется в шпиндельной бабки (коробки скоростей) токарно-винторезных станков 1А64. Устанавливается в соответствии с кинематической схемой.

Позиция 6 по кинематической схеме
Число зубьев: 35
Ширина венца: 30 мм

При подборе сверяйте каталожный номер: 1А64.02.848.",1А64.02.848 шпиндельной бабки станка — купить | ТД РУССтанкоСбыт,"Купить 1А64.02.848 для шпиндельной бабки 1А64. поз. 6, z=35. Запчасть для ремонта. Подбор по каталогу — ТД РУССтанкоСбыт."
Колесо зубчатое 1М63Б.70.219,"Колесо зубчатое 1М63Б.70.219 — зубчатое колесо коробки подач. Обеспечивает передачу крутящего момента между валами в кинематической цепи.

Применяется в коробки подач токарно-винторезных станков 1М63Б. Устанавливается в соответствии с кинематической схемой.

Позиция 59 по кинематической схеме
Число зубьев: 42
Модуль: 2.0
Ширина венца: 14 мм

При подборе сверяйте каталожный номер: 1М63Б.70.219.",1М63Б.70.219 станка 1М63Б — купить | ТД РУССтанкоСбыт,"Купить 1М63Б.70.219 для коробки подач 1М63Б. поз. 59, z=42, m=2.0. Запчасть для ремонта. Подбор по каталогу — ТД РУССтанкоСбыт."
"Вал шлицевой зажима / разжима кулачков к патронам токарных станков РТ983, 1М983, 1А983, 1Н983","Вал шлицевой зажима / разжима кулачков к патронам токарных станков РТ983, 1М983, 1А983, 1Н983 — вал токарного станка. Обеспечивает передачу крутящего момента в узле станка.

Применяется на станках РТ983.

Подбор по каталогу и чертежам заказчика.",Вал шлицевой зажима / разжима кулачко — купить | ТД РУССтанкоСбыт,"Купить Вал шлицевой зажима / разжима кулачков к патронам токарных станков РТ983, 1М983,. Подбор по каталогу — ТД РУССтанкоСбыт."
Колесо зубчатое 16М50.70.188,"Колесо зубчатое 16М50.70.188 — зубчатое колесо коробки подач. Обеспечивает передачу крутящего момента между валами в кинематической цепи.

Применяется в коробки подач токарно-винторезных станков 16М50. Устанавливается в соответствии с кинематической схемой.

Позиция 86 по кинематической схеме
Число зубьев: 52
Модуль: 2.5
Ширина венца: 16 мм

При подборе сверяйте каталожный номер: 16М50.70.188.",16М50.70.188 коробки подач станка 16М — купить | ТД РУССтанкоСбыт,"Купить 16М50.70.188 для коробки подач 16М50, 6М50. поз. 86, z=52, m=2.5. Запчасть для ремонта. Подбор по каталогу — ТД РУССтанкоСбыт."
Колесо зубчатое 16М50.70.194,"Колесо зубчатое 16М50.70.194 — зубчатое колесо коробки подач. Обеспечивает передачу крутящего момента между валами в кинематической цепи.

Применяется в коробки подач токарно-винторезных станков 16М50. Устанавливается в соответствии с кинематической схемой.

Позиция 87 по кинематической схеме
Число зубьев: 49
Модуль: 2.75
Ширина венца: 16 мм

При подборе сверяйте каталожный номер: 16М50.70.194.",16М50.70.194 коробки подач станка 16М — купить | ТД РУССтанкоСбыт,"Купить 16М50.70.194 для коробки подач 16М50, 6М50. поз. 87, z=49, m=2.75. Запчасть для ремонта. Подбор по каталогу — ТД РУССтанкоСбыт."
Вал 1Н983.73.152,"Вал 1Н983.73.152 — вал токарного станка. Обеспечивает передачу крутящего момента в узле станка.

Применяется на токарных станках.

При подборе сверяйте каталожный номер: 1Н983.73.152.",1Н983.73.152 для 1Н983 — купить | ТД РУССтанкоСбыт,Купить 1Н983.73.152 для станков 1Н983. Запасная часть по заводской документации. Подбор по каталогу — ТД РУССтанкоСбыт.
Гайка 1Н65.50.101,"Гайка 1Н65.50.101. Применяется в узлах токарного станка в качестве запасной части.

Устанавливается на станках 1Н65.

Позиция 160 по кинематической схеме
Число зубьев: 1
Ширина венца: 48 мм

При подборе сверяйте каталожный номер: 1Н65.50.101.",1Н65.50.101 для 1Н65 — купить | ТД РУССтанкоСбыт,Купить 1Н65.50.101 для 1Н65. Подбор по каталогу и чертежам — ТД РУССтанкоСбыт.
Вал 1М63Б.70.203,"Вал 1М63Б.70.203 — вал коробки подач. Обеспечивает передачу крутящего момента в узле станка.

Применяется на станках 1М63Б.

При подборе сверяйте каталожный номер: 1М63Б.70.203.",1М63Б.70.203 для 1М63Б — купить | ТД РУССтанкоСбыт,Купить 1М63Б.70.203 для станков 1М63Б. Запасная часть по заводской документации. Подбор по каталогу — ТД РУССтанкоСбыт.
Вал 1А64.02.138,"Вал 1А64.02.138 — вал токарного станка. Обеспечивает передачу крутящего момента в узле станка.

Применяется на станках 1А64.

При подборе сверяйте каталожный номер: 1А64.02.138.",1А64.02.138 для 1А64 — купить | ТД РУССтанкоСбыт,Купить 1А64.02.138 для станков 1А64. Запасная часть по заводской документации. Подбор по каталогу — ТД РУССтанкоСбыт.
